name,RA,Dec,Grade,n_img,Separation,SLED_xmatch,Sav,pNetwork,isKnownLenses
J1335+0118,203.894979,1.301553,High-score candidate,2,1.62,"CONFIRMED: SDSSJ1335+0118, Oguri, Masamune et al. (2004), SDSSJ1335+0118, Inada, Naohisa et al. (2008), SDSSJ1335+0118, He, Zizhao et al. (2023)",2.67,0.9991,Lensed QSO
J1318-0311,199.655958,-3.194822,Lower-score candidates,2,1.2892,,1.67,0.9405,
J1321+0333,200.28825,3.554056,Lower-score candidates,2,1.7663,,1.67,0.9448,
J1324-0309,201.234837,-3.151399,Median-score candidate,2,1.8576,,2,0.9992,
J1327-0125,201.886554,-1.426652,Median-score candidate,2,1.8408,,2,0.9695,
J1328-0338,202.217552,-3.64418,Lower-score candidates,2,2.0376,,1.67,0.9998,
J1329+0127,202.300333,1.45781,Lower-score candidates,2,1.3753,,1.67,0.9986,
J1332+0347,203.09425,3.79442,Median-score candidate,2,1.1197,"CONFIRMED:J1332+0347, Inada, Naohisa et al. (2008), ",2,0.9875,Lensed QSO
J1334+0119,203.520637,1.323345,Lower-score candidates,2,1.1106,,1.67,0.9966,
J1251+0311,192.924672,3.194716,Lower-score candidates,2,1.646,"CONTAMINANT: J125141.90+031140.9, Pindor, Bart et al. (2006), J125141.90+031140.9, Inada, Naohisa et al. (2008), J125141.90+031140.9, Stern, D. et al. (2021)",1.67,0.9994,
J1335+0010,203.997512,0.175269,Lower-score candidates,2,1.9671,,1.67,0.9828,
J1441+0237,220.437907,2.628693,Lower-score candidates,2,1.7503,"CONTAMINANT: J144145.09+023743.0, Pindor, Bart et al. (2006), J144145.09+023743.0, Inada, Naohisa et al. (2008), J144145.09+023743.0, Spiniello, C. et al. (2018)",1.67,1,
J1335+0126,203.930643,1.43436,Median-score candidate,2,2.4614,,2,0.9832,
J1337-0225,204.341635,-2.419643,Median-score candidate,2,2.4698,,2,0.9477,
