name,RA,Dec,Grade,n_img,Separation,SLED_xmatch,Sav,pNetwork,isKnownLenses
J2220-2914,335.083492,-29.243453,Lower-score candidates,2,1.6885,,1.67,0.999,
J2220-3415,335.23476,-34.263397,Median-score candidate,2,1.5231,,2,0.9971,
J2224-3345,336.073063,-33.759293,Lower-score candidates,2,2.0103,,1.67,0.9977,
J2224-3358,336.057483,-33.978788,Lower-score candidates,2,1.3273,,2.33,0.992,
J2226-2927,336.695713,-29.457324,Median-score candidate,2,1.2469,,2,0.994,
J2226-3133,336.702582,-31.553202,Lower-score candidates,2,1.4088,,1.67,0.9821,
J2228-3223,337.062201,-32.385659,Lower-score candidates,2,2.1456,,1.67,0.991,
J2231-3500,337.813494,-35.013362,Median-score candidate,2,,,2,0.9956,
J2232-2748,338.040634,-27.812236,Median-score candidate,2,1.5467,,2,0.998,
J2233-2832,338.296465,-28.54754,Median-score candidate,2,2.3642,,1.86,0.9729,
J2234-2709,338.602303,-27.163509,Lower-score candidates,2,2.3013,,1.67,0.9642,
J2240-3405,340.12713,-34.095084,Median-score candidate,2,1.6095,,2,1,
J2243-2940,340.771586,-29.66673,Median-score candidate,2,2.0502,,2,0.9818,
J2244-3506,341.103322,-35.105157,Lower-score candidates,2,2.6035,,1.67,0.9592,
J2244-3536,341.09839,-35.608211,Median-score candidate,2,2.6099,,2,1,
J2247-2928,341.81922,-29.479206,Lower-score candidates,2,1.5605,,1.67,1,
J2247-3219,341.987114,-32.332036,Median-score candidate,2,0.9521,,2,0.9778,
J2254-2951,343.71331,-29.857298,Lower-score candidates,2,1.5948,,1.67,0.9924,
J2302-2813,345.740263,-28.22054,Median-score candidate,2,1.6747,"CONTAMINANT: J2302-2813, Lemon, Cameron A. et al. (2018)",2,1,
J2304-2745,346.229143,-27.756363,Median-score candidate,2,1.419,,2,0.9804,
J1239+0146,189.820362,1.781555,Median-score candidate,2,,"CANDIDATE: J123916+014654, He, Zizhao et al. (2023)",2,0.9995,
J2309-3432,347.265974,-34.536183,Lower-score candidates,2,1.1598,,1.67,1,
J2312-2956,348.203757,-29.935862,Lower-score candidates,2,1.1601,,1.67,0.9988,
J2316-3320,349.115891,-33.3339,Lower-score candidates,2,1.2518,"CANDIDATE: KIDS2316-3320, Spiniello, C. et al. (2018)",1.67,1,
J2321-2812,350.407225,-28.202176,Median-score candidate,2,1.6141,,2,0.9833,
J2329-3409,352.417763,-34.156397,High-score candidate,4,2.01,"CONFIRMED: KIDSJ232940-340922, Napolitano, N. R. et al. (2020)",2.33,0.9537,Lensed Galaxy
J2330-3004,352.68225,-30.073521,Median-score candidate,2,1.6117,,2,0.9493,
J2339-3518,354.758892,-35.309848,Median-score candidate,2,,,2,0.9837,
J2341-2906,355.25867,-29.114633,Lower-score candidates,2,2.2605,,1.67,0.9775,
J2343-3038,355.766462,-30.642644,Lower-score candidates,2,1.1751,,1.67,0.9636,
J2345-3254,356.335093,-32.914786,Lower-score candidates,2,2.0841,,1.67,0.9982,
J2349-2858,357.382187,-28.981482,Lower-score candidates,2,2.2074,,1.67,0.9908,
J2353-3236,358.404001,-32.603504,Lower-score candidates,2,1.0665,,1.67,0.994,
J2354-3213,358.577668,-32.231881,Lower-score candidates,2,1.2712,,1.67,0.9916,
J2356-2805,359.186541,-28.097624,Median-score candidate,2,2.4601,,2,0.9413,
J1508-0006,227.10097,-0.101002,Median-score candidate,2,,"CONTAMINANT: J1508-0006, Pindor, Bart et al. (2006), J1508-0006, Jackson, Neal et al. (2012)",2,0.9742,
J2356-3157,359.073255,-31.951281,Lower-score candidates,2,1.8304,,2.33,0.9991,
J2356-3532,359.07167,-35.537485,Lower-score candidates,2,1.7277,,1.67,0.9998,
J2357-3422,359.26579,-34.37748,Lower-score candidates,2,1.6058,,1.67,0.978,
J2359-2906,359.810643,-29.116388,Median-score candidate,2,1.5376,,2,0.9981,
