name,RA,Dec,pmra,pmdec,pmra_error,pmdec_error,pm_sig,plx,plx_error,plx_sig,u,g,r,i,photo-z,specz,specz_cite
J0100-3406,15.128183,-34.109264,0.147,0.532,0.124,0.097,3.505855501,-0.3315,0.1684,1.968527316,18.721588,18.472242,18.24263,18.07221,0.12,,
J0104-3411,16.15793,-34.199561,0.519,-1.696,1.257,0.872,1.159353453,3.3026,1.7612,1.875198728,21.878927,21.02123,20.778816,20.73007,0.2,,
J0104-3411,16.158123,-34.199021,0.519,-1.696,1.257,0.872,1.159353453,3.3026,1.7612,1.875198728,22.353724,21.530298,20.979542,20.793653,0.17,,
J0105-3141,16.449223,-31.694596,3.884,-9.022,0.179,0.155,41.48329332,0.3365,0.2686,1.252792256,21.88297,19.283577,18.087252,17.565817,0.16,,
J0105-3141,16.449465,-31.694774,3.884,-9.022,0.179,0.155,41.48329332,0.3365,0.2686,1.252792256,21.72681,19.146223,17.929224,17.463526,0.14,,
J0111-3314,17.84662,-33.247942,13.165,-8.37,0.468,0.49,23.02354552,0.688,0.5587,1.231430106,25.210564,22.071014,20.546616,19.356468,0.59,,
J0111-3314,17.846999,-33.247865,13.165,-8.37,0.468,0.49,23.02354552,0.688,0.5587,1.231430106,25.133823,22.542706,20.966309,19.709955,0.59,,
J0112-2908,18.028292,-29.147021,17.164,3.436,0.243,0.293,45.98535649,1.3536,0.4385,3.086887115,23.295599,20.698614,19.287308,18.148293,0.47,,
J0112-2908,18.028559,-29.146995,17.164,3.436,0.243,0.293,45.98535649,1.3536,0.4385,3.086887115,23.401209,20.558727,19.09925,18.063597,0.38,,
J0115-3245,18.926027,-32.7619,,,,,,,,,21.621088,20.890171,20.704315,20.5982,0.19,,
J0115-3245,18.925776,-32.761479,,,,,,,,,21.183674,20.256754,19.979465,19.873995,0.2,,
J0118-2848,19.599347,-28.808331,0.34,-4.014,0.271,0.207,11.81295595,-0.3723,0.2765,1.346473779,22.17138,21.182783,20.810026,20.660746,0.09,,
J0118-2848,19.599845,-28.808162,0.34,-4.014,0.271,0.207,11.81295595,-0.3723,0.2765,1.346473779,20.51626,19.565405,19.27262,19.1816,0.03,,
J0120-3228,20.222526,-32.481075,-4.136,-8.753,0.554,0.307,15.28474189,0.2529,0.4591,0.550860379,20.971205,19.702717,19.16661,18.97304,0.01,,
J0120-3228,20.22267,-32.480752,-4.136,-8.753,0.554,0.307,15.28474189,0.2529,0.4591,0.550860379,21.270842,19.909542,19.357468,19.179764,0.04,,
J0121-3140,20.412977,-31.674381,8.929,-6.988,1.13,1.363,6.404064698,1.188,1.1699,1.015471408,21.151232,20.208662,19.80357,19.576197,0.01,,
J0121-3140,20.413424,-31.674414,8.929,-6.988,1.13,1.363,6.404064698,1.188,1.1699,1.015471408,20.069803,19.172598,18.892897,18.750471,0.14,,
J0122-2700,20.694899,-27.001755,0.671,-0.709,0.768,0.558,1.028302701,0.8678,0.7146,1.21438567,21.475082,20.954483,20.503942,20.199263,0.26,,
J0122-2700,20.6946,-27.001912,0.671,-0.709,0.768,0.558,1.028302701,0.8678,0.7146,1.21438567,20.619602,20.313389,20.139748,19.803959,0.25,,
J0126-3334,21.603708,-33.581365,4.017,-22.58,0.151,0.105,124.6994482,0.7952,0.193,4.120207254,20.835932,19.085253,18.126202,17.821321,0.05,,
J0126-3334,21.603703,-33.581346,4.017,-22.58,0.151,0.105,124.6994482,0.7952,0.193,4.120207254,21.065128,19.114683,18.159185,17.834364,0.07,,
J0133-3006,23.453359,-30.109497,-1.114,0.815,1.083,0.983,0.943733167,-1.8679,1.0675,1.749789227,22.648514,21.713047,20.837788,20.409012,0.3,,
J0133-3006,23.453424,-30.109034,-1.114,0.815,1.083,0.983,0.943733167,-1.8679,1.0675,1.749789227,22.073689,21.431986,20.551754,20.264416,0.35,,
J0133-3133,23.488869,-31.555435,-11.721,-38.6,0.407,0.35,75.15032049,0.0547,0.5454,0.100293363,23.04968,21.096539,19.905348,19.494715,0.1,,
J0133-3133,23.489357,-31.555265,-11.721,-38.6,0.407,0.35,75.15032049,0.0547,0.5454,0.100293363,22.3654,21.068249,19.79303,19.293814,0.39,,
J0141-3407,25.366883,-34.118708,2.251,-2.161,1.36,1.212,1.712919902,2.9141,2.2999,1.267055089,21.04458,20.926395,20.716255,20.470505,0.94,,
J0141-3407,25.366446,-34.118954,2.251,-2.161,1.36,1.212,1.712919902,2.9141,2.2999,1.267055089,20.941721,20.13116,19.833826,19.710756,0.01,,
J0145-3515,26.404853,-35.250941,1.579,-2.949,0.233,0.437,6.754611669,-0.7355,0.461,1.595444685,22.724445,21.626513,21.145603,20.872402,0.08,,
